Station,Connection,Travel_time
Chesham (MET),Chalfont and Latimer (MET),6
Amersham (MET),Chalfont and Latimer (MET),3
Watford (MET),Croxley (MET),2
Croxley (MET),Moor Park (MET),2
Chalfont and Latimer (MET),Chorleywood (MET),3
Chorleywood (MET),Rickmansworth (MET),3
Rickmansworth (MET),Moor Park (MET),3
Moor Park (MET),Northwood (MET),2
Northwood (MET),Northwood Hills (MET),2
Northwood Hills (MET),Pinner (MET),2
Pinner (MET),North Harrow (MET),2
North Harrow (MET),Harrow-on-the-Hill (MET),3
Uxbridge (MET),Hillingdon (MET),2
Hillingdon (MET),Ickenham (MET),2
Ickenham (MET),Ruislip (MET),2
Ruislip (MET),Ruislip Manor (MET),1
Ruislip Manor (MET),Eastcote (MET),2
Eastcote (MET),Rayners Lane (MET),2
Rayners Lane (MET),West Harrow (MET),2
West Harrow (MET),Harrow-on-the-Hill (MET),2
Harrow-on-the-Hill (MET),Northwick Park (MET),2
Northwick Park (MET),Preston Road (MET),2
Preston Road (MET),Wembley Park (MET),2
Wembley Park (MET),Finchley Road (MET),8
Finchley Road (MET),Baker Street (MET),3
Baker Street (MET),Great Portland Street (MET),1
Great Portland Street (MET),Euston Square (MET),1
Euston Square (MET),King's Cross (MET),1
King's Cross (MET),Farringdon (MET),2
Farringdon (MET),Barbican (MET),1
Barbican (MET),Moorgate (MET),1
Moorgate (MET),Liverpool Street (MET),1
Liverpool Street (MET),Aldgate (MET),1
West Ruislip (CEN),Ruislip Gardens (CEN),2
Ruislip Gardens (CEN),South Ruislip (CEN),1
South Ruislip (CEN),Northolt (CEN),2
Northolt (CEN),Greenford (CEN),1
Greenford (CEN),Perivale (CEN),2
Perivale (CEN),Hanger Lane (CEN),2
Hanger Lane (CEN),North Acton (CEN),2
Ealing Broadway (CEN),West Acton (CEN),2
West Acton (CEN),North Acton (CEN),1
North Acton (CEN),East Acton (CEN),2
East Acton (CEN),White City (CEN),2
White City (CEN),Shepherd's Bush (CEN),1
Shepherd's Bush (CEN),Holland Park (CEN),1
Holland Park (CEN),Notting Hill Gate (CEN),1
Notting Hill Gate (CEN),Queensway (CEN),1
Queensway (CEN),Lancaster Gate (CEN),1
Lancaster Gate (CEN),Marble Arch (CEN),2
Marble Arch (CEN),Bond Street (CEN),1
Bond Street (CEN),Oxford Circus (CEN),1
Oxford Circus (CEN),Tottenham Court Road (CEN),1
Tottenham Court Road (CEN),Holborn (CEN),1
Holborn (CEN),Chancery Lane (CEN),1
Chancery Lane (CEN),St. Paul's (CEN),2
St. Paul's (CEN),Bank (CEN),1
Bank (CEN),Liverpool Street (CEN),1
Liverpool Street (CEN),Bethnal Green (CEN),1
Bethnal Green (CEN),Mile End (CEN),1
Mile End (CEN),Stratford (CEN),3
Stratford (CEN),Leyton (CEN),1
Leyton (CEN),Leytonstone (CEN),1
Leytonstone (CEN),Snaresbrook (CEN),2
Snaresbrook (CEN),South Woodford (CEN),2
South Woodford (CEN),Woodford (CEN),2
Woodford (CEN),Buckhurst Hill (CEN),2
Buckhurst Hill (CEN),Loughton (CEN),2
Loughton (CEN),Debden (CEN),2
Debden (CEN),Theydon Bois (CEN),3
Theydon Bois (CEN),Epping (CEN),3
Leytonstone (CEN),Wanstead (CEN),1
Wanstead (CEN),Redbridge (CEN),2
Redbridge (CEN),Gants Hill (CEN),2
Gants Hill (CEN),Newbury Park (CEN),2
Newbury Park (CEN),Barkingside (CEN),2
Barkingside (CEN),Fairlop (CEN),2
Fairlop (CEN),Hainault (CEN),1
Hainault (CEN),Grange Hill (CEN),2
Grange Hill (CEN),Chigwell (CEN),2
Chigwell (CEN),Roding Valley (CEN),2
Roding Valley (CEN),Woodford (CEN),2
Harrow & Wealdstone (BAK),Kenton (BAK),2
Kenton (BAK),South Kenton (BAK),2
South Kenton (BAK),North Wembley (BAK),1
North Wembley (BAK),Wembley Central (BAK),2
Wembley Central (BAK),Stonebridge Park (BAK),1
Stonebridge Park (BAK),Harlesden (BAK),1
Harlesden (BAK),Willesden Junction (BAK),1
Willesden Junction (BAK),Kensal Green (BAK),2
Kensal Green (BAK),Queen's Park (Bak),2
Queen's Park (Bak),Kilburn Park (BAK),1
Kilburn Park (BAK),Maida Vale (BAK),1
Maida Vale (BAK),Warwick Avenue (BAK),1
Warwick Avenue (BAK),Paddington (BAK),1
Paddington (BAK),Edgware Road (Bakerloo) (BAK),1
Edgware Road (Bakerloo) (BAK),Marylebone (BAK),1
Marylebone (BAK),Baker Street (BAK),1
Baker Street (BAK),Regent's Park (BAK),1
Regent's Park (BAK),Oxford Circus (Bak),1
Oxford Circus (Bak),Piccadilly Circus (BAK),1
Piccadilly Circus (BAK),Charing Cross (BAK),1
Charing Cross (BAK),Embankment (BAK),1
Embankment (BAK),Waterloo (BAK),1
Waterloo (BAK),Lambeth North (BAK),1
Lambeth North (BAK),Elephant and Castle (BAK),1
Uxbridge (PIC),Hillingdon (PIC),2
Hillingdon (PIC),Ickenham (PIC),2
Ickenham (PIC),Ruislip (PIC),2
Ruislip (PIC),Ruislip Manor (PIC),1
Ruislip Manor (PIC),Eastcote (PIC),2
Eastcote (PIC),Rayners Lane (PIC),2
Rayners Lane (PIC),South Harrow (PIC),2
South Harrow (PIC),Sudbury Hill (PIC),2
Sudbury Hill (PIC),Sudbury Town (PIC),1
Sudbury Town (PIC),Alperton (PIC),1
Alperton (PIC),Park Royal (PIC),2
Park Royal (PIC),North Ealing (PIC),2
North Ealing (PIC),Ealing Common (PIC),1
Ealing Common (PIC),Acton Town (PIC),1
Acton Town (PIC),Turnham Green (PIC),2
Acton Town (PIC),South Ealing (PIC),2
South Ealing (PIC),Northfields (PIC),1
Northfields (PIC),Boston Manor (PIC),1
Boston Manor (PIC),Osterley (PIC),3
Osterley (PIC),Hounslow East (PIC),1
Hounslow East (PIC),Hounslow Central (PIC),1
Hounslow Central (PIC),Hounslow West (PIC),2
Hounslow West (PIC),Hatton Cross (PIC),3
Hatton Cross (PIC),Heathrow Terminals 1 2 3 (PIC),2
Hatton Cross (PIC),Heathrow Terminal 4 (PIC),2
Heathrow Terminals 1 2 3 (PIC),Heathrow Terminal 4 (PIC),2
Heathrow Terminals 1 2 3 (PIC),Heathrow Terminal 5 (PIC),2
Turnham Green (PIC),Hammersmith (District) (PIC),2
Hammersmith (District) (PIC),Barons Court (PIC),1
Barons Court (PIC),Earl's Court (PIC),2
Earl's Court (PIC),Gloucester Road (PIC),1
Gloucester Road (PIC),South Kensington (PIC),1
South Kensington (PIC),Knightsbridge (PIC),2
Knightsbridge (PIC),Hyde Park Corner (PIC),1
Hyde Park Corner (PIC),Green Park (PIC),1
Green Park (PIC),Piccadilly Circus (PIC),1
Piccadilly Circus (PIC),Leicester Square (PIC),1
Leicester Square (PIC),Covent Garden (PIC),1
Covent Garden (PIC),Holborn (PIC),1
Holborn (PIC),Russell Square (PIC),1
Russell Square (PIC),King's Cross (PIC),1
King's Cross (PIC),Caledonian Road (PIC),2
Caledonian Road (PIC),Holloway Road (PIC),1
Holloway Road (PIC),Arsenal (PIC),1
Arsenal (PIC),Finsbury Park (PIC),1
Finsbury Park (PIC),Manor House (PIC),1
Manor House (PIC),Turnpike Lane (PIC),2
Turnpike Lane (PIC),Wood Green (PIC),1
Wood Green (PIC),Bounds Green (PIC),2
