Station,Connection,Wait_time
Chesham,Chesham (MET),30
Amersham,Amersham (MET),15
Watford,Watford (MET),12
Croxley,Croxley (MET),12
Chalfont and Latimer,Chalfont and Latimer (MET),15
Chorleywood,Chorleywood (MET),15
Rickmansworth,Rickmansworth (MET),15
Moor Park,Moor Park (MET),7
Northwood,Northwood (MET),6
Northwood Hills,Northwood Hills (MET),6
Pinner,Pinner (MET),6
North Harrow,North Harrow (MET),6
Uxbridge,Uxbridge (MET),7
Hillingdon,Hillingdon (MET),7
Ickenham,Ickenham (MET),7
Ruislip,Ruislip (MET),7
Ruislip Manor,Ruislip Manor (MET),7
Eastcote,Eastcote (MET),7
Rayners Lane,Rayners Lane (MET),7
West Harrow,West Harrow (MET),7
Harrow-on-the-Hill,Harrow-on-the-Hill (MET),5
Northwick Park,Northwick Park (MET),5
Preston Road,Preston Road (MET),5
Wembley Park,Wembley Park (MET),5
Finchley Road,Finchley Road (MET),5
Baker Street,Baker Street (MET),4
Great Portland Street,Great Portland Street (MET),4
Euston Square,Euston Square (MET),4
King's Cross,King's Cross (MET),4
Farringdon,Farringdon (MET),4
Barbican,Barbican (MET),4
Moorgate,Moorgate (MET),4
Liverpool Street,Liverpool Street (MET),4
Aldgate,Aldgate (MET),7
West Ruislip,West Ruislip (CEN),10
Ruislip Gardens,Ruislip Gardens (CEN),10
South Ruislip,South Ruislip (CEN),10
Northolt,Northolt (CEN),10
Greenford,Greenford (CEN),10
Perivale,Perivale (CEN),10
Hanger Lane,Hanger Lane (CEN),10
Ealing Broadway,Ealing Broadway (CEN),6
West Acton,West Acton (CEN),6
North Acton,North Acton (CEN),3
East Acton,East Acton (CEN),3
White City,White City (CEN),3
Shepherd's Bush,Shepherd's Bush (CEN),3
Holland Park,Holland Park (CEN),3
Notting Hill Gate,Notting Hill Gate (CEN),3
Queensway,Queensway (CEN),3
Lancaster Gate,Lancaster Gate (CEN),3
Marble Arch,Marble Arch (CEN),3
Bond Street,Bond Street (CEN),3
Oxford Circus,Oxford Circus (CEN),3
Tottenham Court Road,Tottenham Court Road (CEN),3
Holborn,Holborn (CEN),3
Chancery Lane,Chancery Lane (CEN),3
St. Paul's,St. Paul's (CEN),3
Bank,Bank (CEN),3
Liverpool Street,Liverpool Street (CEN),3
Bethnal Green,Bethnal Green (CEN),2
Mile End,Mile End (CEN),2
Notting Hill Gate,Notting Hill Gate (CEN),2
Stratford,Stratford (CEN),2
Leyton,Leyton (CEN),2
Leytonstone,Leytonstone (CEN),2
Snaresbrook,Snaresbrook (CEN),6
South Woodford,South Woodford (CEN),6
Woodford,Woodford (CEN),8
Buckhurst Hill,Buckhurst Hill (CEN),8
Loughton,Loughton (CEN),8
Debden,Debden (CEN),8
Theydon Bois,Theydon Bois (CEN),8
Epping,Epping (CEN),8
Wanstead,Wanstead (CEN),5
Redbridge,Redbridge (CEN),5
Gants Hill,Gants Hill (CEN),5
Newbury Park,Newbury Park (CEN),6
Barkingside,Barkingside (CEN),6
Fairlop,Fairlop (CEN),7
Hainault,Hainault (CEN),8
Grange Hill,Grange Hill (CEN),9
Chigwell,Chigwell (CEN),9
Roding Valley,Roding Valley (CEN),9
Harrow & Wealdstone,Harrow & Wealdstone (BAK),6
Kenton,Kenton (BAK),6
South Kenton,South Kenton (BAK),6
North Wembley,North Wembley (BAK),6
Wembley Central,Wembley Central (BAK),6
Stonebridge Park,Stonebridge Park (BAK),6
Harlesden,Harlesden (BAK),6
Willesden Junction,Willesden Junction (BAK),6
Kensal Green,Kensal Green (BAK),6
Queen's Park,Queen's Park (Bak),6
Kilburn Park,Kilburn Park (BAK),6
Maida Vale,Maida Vale (BAK),6
Warwick Avenue,Warwick Avenue (BAK),6
Paddington,Paddington (BAK),6
Edgware Road (Bakerloo),Edgware Road (Bakerloo) (BAK),6
Marylebone,Marylebone (BAK),6
Baker Street,Baker Street (BAK),6
Regent's Park,Regent's Park (BAK),6
Oxford Circus,Oxford Circus (Bak),4
Piccadilly Circus,Piccadilly Circus (BAK),4
Charing Cross,Charing Cross (BAK),4
Embankment,Embankment (BAK),4
Waterloo,Waterloo (BAK),4
Lambeth North,Lambeth North (BAK),4
Elephant and Castle,Elephant and Castle (BAK),4
Uxbridge,Uxbridge (PIC),6
Hillingdon,Hillingdon (PIC),6
Ickenham,Ickenham (PIC),6
Ruislip,Ruislip (PIC),6
Ruislip Manor,Ruislip Manor (PIC),6
Eastcote,Eastcote (PIC),6
Rayners Lane,Rayners Lane (PIC),6
South Harrow,South Harrow (PIC),6
Sudbury Hill,Sudbury Hill (PIC),6
Sudbury Town,Sudbury Town (PIC),6
Alperton,Alperton (PIC),6
Park Royal,Park Royal (PIC),6
North Ealing,North Ealing (PIC),6
Ealing Common,Ealing Common (PIC),6
Acton Town,Acton Town (PIC),3
South Ealing,South Ealing (PIC),5
Northfields,Northfields (PIC),5
Boston Manor,Boston Manor (PIC),5
Osterley,Osterley (PIC),5
Hounslow East,Hounslow East (PIC),5
Hounslow Central,Hounslow Central (PIC),5
Hounslow West,Hounslow West (PIC),5
Hatton Cross,Hatton Cross (PIC),5
Heathrow Terminal 4,Heathrow Terminal 4 (PIC),5
Heathrow Terminals 1 2 3,Heathrow Terminals 1 2 3 (PIC),5
Heathrow Terminal 5,Heathrow Terminal 5 (PIC),10
Turnham Green,Turnham Green (PIC),3
Hammersmith (District),Hammersmith (District) (PIC),3
Barons Court,Barons Court (PIC),3
Earl's Court,Earl's Court (PIC),3
Gloucester Road,Gloucester Road (PIC),3
South Kensington,South Kensington (PIC),3
Knightsbridge,Knightsbridge (PIC),3
Hyde Park Corner,Hyde Park Corner (PIC),3
Green Park,Green Park (PIC),3
Piccadilly Circus,Piccadilly Circus (PIC),3
Leicester Square,Leicester Square (PIC),3
Covent Garden,Covent Garden (PIC),3
Holborn,Holborn (PIC),3
Russell Square,Russell Square (PIC),3
King's Cross,King's Cross (PIC),3
Caledonian Road,Caledonian Road (PIC),3
Holloway Road,Holloway Road (PIC),3
Arsenal,Arsenal (PIC),3
